#CONTIGS	SOURCE_GENOME	LENGTH	COVERAGE	ANNOT	GUT_GENOME000866	GUT_GENOME016058	GUT_GENOME025370	GUT_GENOME033606	GUT_GENOME036663	GUT_GENOME046547	GUT_GENOME047285	GUT_GENOME082911	GUT_GENOME099474	GUT_GENOME122658	GUT_GENOME123622	GUT_GENOME124217	GUT_GENOME125986	GUT_GENOME152745	GUT_GENOME154792	GUT_GENOME156087	GUT_GENOME189823	GUT_GENOME227639	GUT_GENOME231089	GUT_GENOME249529	GUT_GENOME252784	GUT_GENOME278258	KIJ_genome_14221	KIJ_genome_23957	KIJ_genome_4392
GUT_GENOME016058_16	GUT_GENOME016058	13784	16.0	not_shared	X	O	O	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	O	X	X	X	X
GUT_GENOME000866_26	GUT_GENOME000866	28688	76.0	not_shared	O	X	X	O	O	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	X	X	O	O	O
GUT_GENOME000866_51	GUT_GENOME000866	7693	56.00000000000001	not_shared	O	X	X	X	X	O	O	X	X	O	O	O	X	O	O	O	X	O	O	O	X	X	O	X	O
GUT_GENOME000866_19	GUT_GENOME000866	41746	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O
GUT_GENOME016058_2	GUT_GENOME016058	216672	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_28	GUT_GENOME000866	26769	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_68	GUT_GENOME000866	1186	72.0	not_shared	O	O	O	O	O	O	X	O	X	X	O	X	X	O	O	O	O	O	O	X	O	O	O	O	X
GUT_GENOME000866_40	GUT_GENOME000866	10973	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_23	GUT_GENOME000866	33524	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_43	GUT_GENOME000866	9636	84.0	core	O	O	O	X	O	O	O	O	O	O	O	X	X	O	O	O	O	O	O	O	O	O	X	O	O
GUT_GENOME000866_56	GUT_GENOME000866	4242	48.0	not_shared	O	O	X	X	O	O	O	X	X	X	X	X	O	O	X	X	O	O	X	X	O	O	X	O	X
GUT_GENOME000866_2	GUT_GENOME000866	131515	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME000866_10	GUT_GENOME000866	92755	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_3	GUT_GENOME016058	187144	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_8	GUT_GENOME000866	97639	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_54	GUT_GENOME000866	5192	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_4	GUT_GENOME016058	145716	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME000866_15	GUT_GENOME000866	69656	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_50	GUT_GENOME000866	8048	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME000866_27	GUT_GENOME000866	28129	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_65	GUT_GENOME000866	1449	24.0	not_shared	O	O	X	X	X	O	X	O	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	O	X
GUT_GENOME016058_5	GUT_GENOME016058	116381	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_75	GUT_GENOME000866	520	20.0	not_shared	O	O	X	X	X	O	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X
GUT_GENOME000866_30	GUT_GENOME000866	21857	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_64	GUT_GENOME000866	1538	56.00000000000001	not_shared	O	O	O	X	X	X	X	O	O	X	X	X	X	O	X	O	O	O	X	X	O	O	O	O	O
GUT_GENOME000866_55	GUT_GENOME000866	4812	52.0	not_shared	O	X	X	X	X	X	X	O	O	O	O	X	X	O	X	O	X	O	X	O	O	O	X	O	O
GUT_GENOME000866_39	GUT_GENOME000866	11210	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_6	GUT_GENOME016058	114036	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_3	GUT_GENOME000866	120834	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_36	GUT_GENOME000866	15822	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_7	GUT_GENOME016058	87723	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_18	GUT_GENOME000866	52849	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O
GUT_GENOME016058_8	GUT_GENOME016058	81595	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_31	GUT_GENOME000866	19615	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_45	GUT_GENOME000866	9252	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_29	GUT_GENOME000866	24070	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_9	GUT_GENOME016058	74598	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_17	GUT_GENOME000866	54759	96.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_58	GUT_GENOME000866	3761	96.0	shared_but_short	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_37	GUT_GENOME000866	13492	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O
GUT_GENOME025370_1	GUT_GENOME025370	150299	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_10	GUT_GENOME025370	51977	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_11	GUT_GENOME025370	47370	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_12	GUT_GENOME025370	43179	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_13	GUT_GENOME025370	42017	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_57	GUT_GENOME000866	3789	44.0	not_shared	O	X	X	X	O	X	X	X	O	X	O	O	X	O	X	O	O	X	X	O	O	X	X	O	X
GUT_GENOME025370_14	GUT_GENOME025370	41718	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_15	GUT_GENOME025370	41611	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_16	GUT_GENOME025370	37564	16.0	not_shared	X	X	O	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	O	X	X	O	X
GUT_GENOME000866_49	GUT_GENOME000866	8210	24.0	not_shared	O	X	X	X	X	X	X	X	X	X	X	X	X	O	O	O	X	O	X	X	X	X	X	O	X
GUT_GENOME000866_22	GUT_GENOME000866	38308	88.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_17	GUT_GENOME025370	37544	80.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O	O	O	X	O	X	O
GUT_GENOME000866_38	GUT_GENOME000866	12262	52.0	not_shared	O	X	O	X	O	O	O	X	X	X	O	X	O	X	O	O	X	X	O	O	O	X	O	X	X
GUT_GENOME000866_48	GUT_GENOME000866	8339	80.0	core	O	X	O	O	O	O	O	O	X	O	O	O	X	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_18	GUT_GENOME025370	35651	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_19	GUT_GENOME025370	34584	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_2	GUT_GENOME025370	112708	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_20	GUT_GENOME025370	33354	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_21	GUT_GENOME025370	33280	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_22	GUT_GENOME025370	32950	96.0	core	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_23	GUT_GENOME025370	27270	80.0	core	O	O	O	O	X	O	O	O	O	O	X	O	O	O	X	X	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_24	GUT_GENOME025370	26263	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_7	GUT_GENOME000866	103524	88.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_25	GUT_GENOME025370	26102	84.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	X	X	O	O	O
GUT_GENOME000866_20	GUT_GENOME000866	41685	76.0	not_shared	O	X	O	O	O	O	O	O	O	O	X	X	O	O	O	O	X	X	O	O	O	X	O	O	O
GUT_GENOME025370_26	GUT_GENOME025370	25973	88.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME000866_21	GUT_GENOME000866	40949	88.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_27	GUT_GENOME025370	25626	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_9	GUT_GENOME000866	97137	68.0	not_shared	O	X	O	X	O	O	O	X	X	O	O	O	O	O	O	X	X	O	O	O	O	X	O	X	O
GUT_GENOME025370_28	GUT_GENOME025370	25532	48.0	not_shared	O	X	O	X	O	X	O	X	X	O	O	X	X	X	X	O	X	X	X	O	O	X	O	O	O
GUT_GENOME000866_70	GUT_GENOME000866	961	12.0	not_shared	O	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X	X	X	X
GUT_GENOME025370_29	GUT_GENOME025370	24808	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_3	GUT_GENOME025370	95344	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_30	GUT_GENOME025370	24798	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_31	GUT_GENOME025370	24657	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O
GUT_GENOME025370_32	GUT_GENOME025370	24316	8.0	not_shared	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X	X	X	X
GUT_GENOME025370_33	GUT_GENOME025370	23393	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_34	GUT_GENOME025370	22568	72.0	not_shared	O	X	O	O	O	O	O	X	O	O	O	O	O	O	O	X	X	O	X	O	O	X	O	X	O
GUT_GENOME025370_35	GUT_GENOME025370	22149	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O
GUT_GENOME000866_12	GUT_GENOME000866	89158	76.0	not_shared	O	X	O	X	O	O	O	O	O	O	O	O	X	O	X	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_36	GUT_GENOME025370	21640	36.0	not_shared	X	X	O	X	O	X	X	O	X	O	X	O	O	X	X	X	X	O	X	X	O	X	X	X	O
GUT_GENOME025370_37	GUT_GENOME025370	21461	60.0	not_shared	O	X	O	X	O	X	O	O	O	O	O	O	O	O	X	X	X	O	O	O	O	X	X	X	X
GUT_GENOME025370_38	GUT_GENOME025370	21136	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_39	GUT_GENOME025370	21102	88.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_4	GUT_GENOME025370	87682	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_40	GUT_GENOME025370	18615	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_41	GUT_GENOME025370	18115	84.0	core	O	X	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_42	GUT_GENOME025370	17192	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_43	GUT_GENOME025370	16984	92.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O	O	O	O	O	O
GUT_GENOME025370_44	GUT_GENOME025370	16697	92.0	core	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O
GUT_GENOME025370_45	GUT_GENOME025370	15943	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_46	GUT_GENOME025370	15669	96.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_34	GUT_GENOME000866	18152	76.0	not_shared	O	X	O	X	O	O	O	O	X	O	O	X	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_47	GUT_GENOME025370	15597	64.0	not_shared	O	X	O	O	O	X	O	O	O	O	O	X	O	O	O	O	X	X	O	O	O	X	X	X	X
GUT_GENOME025370_48	GUT_GENOME025370	15359	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_49	GUT_GENOME025370	15332	92.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O
GUT_GENOME025370_5	GUT_GENOME025370	76598	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_50	GUT_GENOME025370	14828	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_51	GUT_GENOME025370	14718	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_52	GUT_GENOME025370	14315	76.0	not_shared	O	X	O	X	O	O	O	O	X	O	O	X	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_53	GUT_GENOME025370	14263	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME000866_25	GUT_GENOME000866	28785	60.0	not_shared	O	X	O	X	O	O	O	X	X	O	O	X	X	O	O	X	X	O	O	O	O	X	O	X	O
GUT_GENOME025370_54	GUT_GENOME025370	14021	60.0	not_shared	O	X	O	X	O	O	O	O	X	O	O	X	X	O	O	X	X	O	O	O	O	X	X	O	X
GUT_GENOME025370_55	GUT_GENOME025370	13825	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_56	GUT_GENOME025370	13786	96.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_57	GUT_GENOME025370	13456	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_58	GUT_GENOME025370	12929	20.0	not_shared	X	X	O	O	X	X	X	X	X	X	X	X	X	O	O	X	X	X	O	X	X	X	X	X	X
GUT_GENOME025370_59	GUT_GENOME025370	11886	76.0	not_shared	O	X	O	X	O	O	O	O	O	O	O	O	O	O	O	X	X	O	X	O	O	X	O	O	O
GUT_GENOME025370_6	GUT_GENOME025370	66833	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_60	GUT_GENOME025370	11711	20.0	not_shared	X	X	O	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X	O	X	O
GUT_GENOME025370_61	GUT_GENOME025370	11690	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_62	GUT_GENOME025370	11473	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_63	GUT_GENOME025370	10973	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_64	GUT_GENOME025370	10674	80.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O	O	X	X	O	O	O
GUT_GENOME025370_65	GUT_GENOME025370	10308	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_66	GUT_GENOME025370	10258	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_67	GUT_GENOME025370	10081	88.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_68	GUT_GENOME025370	10023	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O
GUT_GENOME025370_69	GUT_GENOME025370	9595	84.0	core	O	X	O	O	O	O	O	O	O	O	X	O	O	O	O	O	X	O	O	O	O	X	O	O	O
GUT_GENOME025370_7	GUT_GENOME025370	64577	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_70	GUT_GENOME025370	9038	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_71	GUT_GENOME025370	9020	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_72	GUT_GENOME025370	8822	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_73	GUT_GENOME025370	7992	84.0	core	O	X	O	O	O	O	O	O	O	O	O	O	O	X	O	O	X	O	X	O	O	O	O	O	O
GUT_GENOME025370_74	GUT_GENOME025370	7884	76.0	not_shared	O	X	O	O	O	X	O	O	O	X	O	O	O	O	O	O	X	O	O	O	O	X	O	X	O
GUT_GENOME025370_75	GUT_GENOME025370	7463	20.0	not_shared	X	X	O	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	O	O	X	O	X
GUT_GENOME025370_76	GUT_GENOME025370	7195	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_77	GUT_GENOME025370	7166	80.0	core	O	X	O	O	O	O	O	O	X	O	O	O	O	O	O	O	X	O	O	O	O	X	O	X	O
GUT_GENOME025370_78	GUT_GENOME025370	6861	60.0	not_shared	X	X	O	X	O	O	O	X	O	O	O	X	X	O	O	O	X	O	X	X	O	X	O	O	O
GUT_GENOME025370_79	GUT_GENOME025370	6605	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_8	GUT_GENOME025370	57787	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_80	GUT_GENOME025370	6499	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME025370_81	GUT_GENOME025370	6484	36.0	not_shared	O	X	O	X	O	X	O	X	X	X	X	X	X	X	X	O	X	O	O	X	X	X	O	X	O
GUT_GENOME000866_46	GUT_GENOME000866	8820	12.0	not_shared	O	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X	X	O	X	X	X	X	X	X	X
GUT_GENOME025370_82	GUT_GENOME025370	5994	32.0	not_shared	O	X	O	X	O	X	X	O	O	X	X	X	X	X	X	X	X	X	X	O	O	X	X	O	X
GUT_GENOME025370_83	GUT_GENOME025370	5955	64.0	not_shared	O	X	O	X	O	O	O	X	X	O	O	X	O	O	O	O	X	X	O	O	O	X	O	X	O
GUT_GENOME025370_84	GUT_GENOME025370	5931	16.0	not_shared	X	X	O	X	X	X	X	O	O	X	X	X	X	X	X	X	X	X	X	X	O	X	X	X	X
GUT_GENOME025370_85	GUT_GENOME025370	5770	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O
GUT_GENOME025370_86	GUT_GENOME025370	5411	84.0	core	O	X	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
